time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-04-13 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,277.1400146484375,180,0.0
2020-04-27 09:30:00-04:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,285.1199951171875,262,0.0
2020-04-27 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,day,0.0,1,stock,285.1199951171875,180.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,day,0.0,1,stock,298.0199890136719,262.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,298.0199890136719,40,0.0
2020-06-16 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,315.4800109863281,40,0.0
2020-06-22 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,307.989990234375,164,0.0
2020-06-25 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,day,0.0,1,stock,303.4700012207031,164.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,303.4700012207031,250,0.0
2020-08-05 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4700012207031,39,0.0
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,337.489990234375,19,0.0
2020-09-14 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,day,0.0,1,stock,337.489990234375,289.0,0.0
2020-09-15 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.1199951171875,171,0.0
2020-11-09 08:30:00-05:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-11-09 08:30:00-05:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,363.9700012207031,171,0.0
2020-11-09 08:30:00-05:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-11-09 08:30:00-05:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,363.9700012207031,19,0.0
2021-07-16 09:30:00-04:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,121,0.0
2021-10-26 09:30:00-04:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-10-26 09:30:00-04:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,457.8105102539063,121,0.0
